FileOpenedAction 1475666591208 TestRomanNumerals.java 1504 15 15 15
RefactoringAction 1475666606591 TestRomanNumerals.java ADD void testRomanNumerals FIELD
RefactoringAction 1475666607619 TestRomanNumerals.java RENAME testRomanNumerals=>void testRomanNumerals_ FIELD
RefactoringAction 1475666624139 TestRomanNumerals.java RENAME testRomanNumerals_=>void testRomanNumeralsI_ FIELD
RefactoringAction 1475666625158 TestRomanNumerals.java RENAME testRomanNumeralsI_=>void testRomanNumerals_ FIELD
RefactoringAction 1475666627180 TestRomanNumerals.java RENAME testRomanNumerals_=>void testRomanNumerals_I FIELD
RefactoringAction 1475666628688 TestRomanNumerals.java RENAME testRomanNumerals_I=>void testRomanNumerals_I_RE FIELD
RefactoringAction 1475666629705 TestRomanNumerals.java RENAME testRomanNumerals_I_RE=>void testRomanNumerals_I_Re FIELD
RefactoringAction 1475666633231 TestRomanNumerals.java RENAME testRomanNumerals_I_Re=>void testRomanNumerals_I_repeated FIELD
RefactoringAction 1475666637251 TestRomanNumerals.java RENAME testRomanNumerals_I_repeated=>void testRomanNumerals_I_repeated_three_times FIELD
RefactoringAction 1475666638270 TestRomanNumerals.java RENAME testRomanNumerals_I_repeated_three_times=>void testRomanNumerals_I_repeated_three_times_ FIELD
RefactoringAction 1475666640288 TestRomanNumerals.java RENAME testRomanNumerals_I_repeated_three_times_=>void testRomanNumerals_I_repeated_three_times_III_ FIELD
RefactoringAction 1475666647806 TestRomanNumerals.java RENAME testRomanNumerals_I_repeated_three_times_III_=>void testRomanNumerals_I_repeated_four_times_III_ FIELD
RefactoringAction 1475666652824 TestRomanNumerals.java RENAME testRomanNumerals_I_repeated_four_times_III_=>void testRomanNumerals_I_repeated_four_times_IIII_ FIELD
RefactoringAction 1475666655842 TestRomanNumerals.java RENAME testRomanNumerals_I_repeated_four_times_IIII_=>void testRomanNumerals_I_repeated_four_times_IIII_() METHOD
EditAction 1475666811921 TestRomanNumerals.java 1654 16 16 16
