FileOpenedAction 1475666130715 TestRomanNumerals.java 1738 15 16 15
RefactoringAction 1475666169839 TestRomanNumerals.java ADD void test FIELD
RefactoringAction 1475666174860 TestRomanNumerals.java RENAME test=>void testConverter FIELD
RefactoringAction 1475666177379 TestRomanNumerals.java RENAME testConverter=>void testConverter_ FIELD
RefactoringAction 1475666182898 TestRomanNumerals.java RENAME testConverter_=>void testConverter_Con FIELD
RefactoringAction 1475666184927 TestRomanNumerals.java RENAME testConverter_Con=>void testConverter_Convert FIELD
RefactoringAction 1475666186451 TestRomanNumerals.java RENAME testConverter_Convert=>void testConverter_ConvertVV FIELD
RefactoringAction 1475666189468 TestRomanNumerals.java RENAME testConverter_ConvertVV=>void testConverter_ConvertVV_ FIELD
RefactoringAction 1475666190991 TestRomanNumerals.java RENAME testConverter_ConvertVV_=>void testConverter_ConvertVV_should FIELD
RefactoringAction 1475666193016 TestRomanNumerals.java RENAME testConverter_ConvertVV_should=>void testConverter_ConvertVV_shouldBe FIELD
RefactoringAction 1475666205567 TestRomanNumerals.java RENAME testConverter_ConvertVV_shouldBe=>void testConverter_ConvertVV_shouldBe_ FIELD
RefactoringAction 1475666208086 TestRomanNumerals.java RENAME testConverter_ConvertVV_shouldBe_=>void testConverter_ConvertVV_shouldBe_minus FIELD
RefactoringAction 1475666209103 TestRomanNumerals.java RENAME testConverter_ConvertVV_shouldBe_minus=>void testConverter_ConvertVV_shouldBe_minus1 FIELD
RefactoringAction 1475666211120 TestRomanNumerals.java RENAME testConverter_ConvertVV_shouldBe_minus1=>void testConverter_ConvertVV_shouldBe_minus1() METHOD
EditAction 1475666229542 TestRomanNumerals.java 1842 16 17 16
RefactoringAction 1475666261219 TestRomanNumerals.java RENAME testConverter_nonRomanNumeralJShouldBe0()=>void testConverter_nonRomanNumeralJShouldBenegative() METHOD
RefactoringAction 1475666263734 TestRomanNumerals.java RENAME testConverter_nonRomanNumeralJShouldBenegative()=>void testConverter_nonRomanNumeralJShouldBenegativeOne() METHOD
EditAction 1475666271053 RomanNumerals.java 548 2 3 0
EditAction 1475666273153 TestRomanNumerals.java 1853 16 17 16
